Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Manufacturer PN,Mouser SKU,Type,Manufacturer,Elecrow ID,Elecrow Datasheet,Supplier,Manufaturer PN,Price,Supplier SKU
52,,B1212LS-1W,U2 U7,B1212LS-1W,B1212LS-1W,2,,,,,,,,,,,
53,,DY12D1212-2W,U3 U9,DY12D1212-2W,DY12D1212-2W,2,,,,,,,,,,,
54,,IR25750,U11 U17 U20,IR25750,SOT-23-5,3,,,,,,,,,,,
55,,MIC5205,U13,MIC5205-3.3,SOT-23-5,1,,,,,,,,,,,
56,,MIC5205,U15,MIC5205-5.0,SOT-23-5,1,,,,,,,,,,,
57,STM32F334R8T6 Microcontroller,STM32F334R8T6,U22,STM32F334R8T6,LQFP-64_10x10mm_Pitch0.5mm,1,,,,,,,,,,,





Component Groups:,57
Component Count:,211
Fitted Components:,211
Number of PCBs:,1
Total components:,211
Schematic Version:,1.1
Schematic Date:,2016-11-12
BoM Date:,12/11/2016 19:11:39
Schematic Source:,D:\dev_onduleur\littlebox\Proto_IRF460\LittleBox_3\LittleBox_3.sch
KiCad Version:,Eeschema 4.0.1-stable
